estrutura_codigo,estrutura_nome,periodo,rubrica_codigo,rubrica_nome,grupo_rubrica,orcado_mes,realizado_mes,orcado_acumulado,realizado_acumulado,comprometido,orcado_ano_anterior
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-10,3.3.90.10,Serviços de Terceiros - Cloud e Hosting,Serviços de Terceiros,185000,198400,1295000,1421300,45000,142000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-10,3.3.90.20,Licenças e Softwares,Serviços de Terceiros,42000,39800,672000,658200,12000,38000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-10,3.1.10.01,Pessoal - Salários e Encargos,Pessoal,310000,314200,3100000,3118400,0,298000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-10,3.3.50.05,Manutenção de Equipamentos,Manutenção,38000,52100,228000,241800,18000,32000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-10,3.4.10.02,Treinamento e Capacitação,Desenvolvimento,15000,4200,150000,58300,0,12000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-10,3.2.20.01,Materiais de Consumo e TI,Materiais,8000,9100,80000,87400,2000,7200
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-10,3.5.10.01,Viagens e Diárias,Administrativo,5000,3800,50000,38200,0,4500
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-09,3.3.90.10,Serviços de Terceiros - Cloud e Hosting,Serviços de Terceiros,175000,189200,1110000,1222900,42000,138000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-09,3.3.90.20,Licenças e Softwares,Serviços de Terceiros,42000,41500,630000,618400,12000,38000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-09,3.1.10.01,Pessoal - Salários e Encargos,Pessoal,310000,311800,2790000,2804200,0,298000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-09,3.3.50.05,Manutenção de Equipamentos,Manutenção,38000,44300,190000,189700,15000,32000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-09,3.4.10.02,Treinamento e Capacitação,Desenvolvimento,15000,6100,135000,54100,0,12000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-09,3.2.20.01,Materiais de Consumo e TI,Materiais,8000,8700,72000,78300,2000,7200
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-09,3.5.10.01,Viagens e Diárias,Administrativo,5000,4100,45000,34400,0,4500
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-08,3.3.90.10,Serviços de Terceiros - Cloud e Hosting,Serviços de Terceiros,165000,178900,935000,1033700,38000,135000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-08,3.3.90.20,Licenças e Softwares,Serviços de Terceiros,42000,40100,588000,576900,12000,38000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-08,3.1.10.01,Pessoal - Salários e Encargos,Pessoal,310000,328400,2480000,2492400,0,298000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-08,3.3.50.05,Manutenção de Equipamentos,Manutenção,28000,29800,152000,145400,10000,32000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-08,3.4.10.02,Treinamento e Capacitação,Desenvolvimento,15000,8900,120000,48000,0,12000
TI-GER-002,Gerência de Infraestrutura e Operações de TI,2024-08,3.2.20.01,Materiais de Consumo e TI,Materiais,8000,8200,64000,69600,1500,7200
